interview_id,application_id,interview_round,scheduled_date,completed_date,interview_format,interviewer_role,score,recommendation,no_show
INT002411,APP009398,1,2024-08-07,2024-08-07,Video,Hiring Manager,2.1,Reject,False
INT002412,APP009419,1,2024-03-02,2024-03-02,Video,Hiring Manager,2.3,Reject,False
INT002413,APP009420,1,2025-01-15,2025-01-15,On-site,Hiring Manager,4.0,Proceed,False
INT002414,APP009422,1,2024-11-05,2024-11-05,On-site,Hiring Manager,4.3,Proceed,False
INT002415,APP009424,1,2025-09-01,2025-09-01,Video,Hiring Manager,2.8,Hold,False
INT002416,APP009427,1,2025-12-15,2025-12-15,On-site,Hiring Manager,2.6,Reject,False
INT002417,APP009434,1,2024-07-13,2024-07-13,On-site,Hiring Manager,2.8,Hold,False
INT002418,APP009435,1,2025-07-11,2025-07-11,Video,Hiring Manager,3.6,Proceed,False
INT002419,APP009440,1,2025-02-11,2025-02-11,Video,Hiring Manager,2.0,Reject,False
INT002420,APP009443,1,2026-01-11,2026-01-11,Video,Hiring Manager,3.1,Hold,False
INT002421,APP009444,1,2024-12-12,2024-12-12,Video,Hiring Manager,3.0,Hold,False
INT002422,APP009447,1,2025-09-09,2025-09-09,Phone,Hiring Manager,3.8,Proceed,False
INT002423,APP009452,1,2025-10-11,2025-10-11,Video,Hiring Manager,2.4,Reject,False
INT002424,APP009454,1,2025-02-18,2025-02-18,Video,Hiring Manager,4.3,Proceed,False
INT002425,APP009459,1,2025-01-13,2025-01-13,Video,Hiring Manager,4.2,Proceed,False
INT002426,APP009461,1,2025-07-03,2025-07-03,On-site,Hiring Manager,4.0,Proceed,False
INT002427,APP009462,1,2025-02-21,2025-02-21,On-site,Hiring Manager,3.0,Hold,False
INT002428,APP009462,2,2025-02-28,2025-02-28,On-site,Panel,3.1,Hold,False
INT002429,APP009463,1,2024-06-27,2024-06-27,Phone,Hiring Manager,3.3,Hold,False
INT002430,APP009467,1,2024-08-31,2024-08-31,Video,Hiring Manager,4.1,Proceed,False
INT002431,APP009470,1,2025-04-22,2025-04-22,Video,Hiring Manager,1.9,Reject,False
INT002432,APP009471,1,2025-03-24,2025-03-24,Phone,Hiring Manager,3.3,Hold,False
INT002433,APP009478,1,2025-01-24,2025-01-24,On-site,Hiring Manager,3.7,Proceed,False
INT002434,APP009483,1,2025-02-13,2025-02-13,On-site,Hiring Manager,4.1,Proceed,False
INT002435,APP009484,1,2025-03-02,2025-03-02,Video,Hiring Manager,2.8,Hold,False
INT002436,APP009496,1,2025-11-12,2025-11-12,Video,Hiring Manager,3.3,Hold,False
INT002437,APP009498,1,2025-08-29,2025-08-29,On-site,Hiring Manager,3.0,Hold,False
INT002438,APP009500,1,2025-08-30,2025-08-30,Phone,Hiring Manager,3.2,Hold,False
INT002439,APP009501,1,2025-10-31,2025-10-31,Video,Hiring Manager,3.7,Proceed,False
INT002440,APP009510,1,2024-03-31,2024-03-31,Video,Hiring Manager,5.0,Proceed,False
INT002441,APP009511,1,2024-11-29,2024-11-29,On-site,Hiring Manager,4.5,Proceed,False
INT002442,APP009512,1,2025-01-01,2025-01-01,Video,Hiring Manager,4.2,Proceed,False
INT002443,APP009517,1,2025-07-18,2025-07-18,Phone,Hiring Manager,4.0,Proceed,False
INT002444,APP009517,2,2025-07-29,2025-07-29,On-site,Panel,3.9,Proceed,False
INT002445,APP009518,1,2025-04-06,2025-04-06,Video,Hiring Manager,5.0,Proceed,False
INT002446,APP009521,1,2024-12-25,2024-12-25,On-site,Hiring Manager,2.7,Reject,False
INT002447,APP009522,1,2025-09-11,2025-09-11,Video,Hiring Manager,3.6,Proceed,False
INT002448,APP009525,1,2025-09-16,2025-09-16,Video,Hiring Manager,2.5,Reject,False
INT002449,APP009526,1,2024-05-23,2024-05-23,Video,Hiring Manager,2.8,Hold,False
INT002450,APP009531,1,2025-12-20,2025-12-20,Video,Hiring Manager,3.1,Hold,False
INT002451,APP009542,1,2024-05-07,2024-05-07,Video,Hiring Manager,3.5,Proceed,False
INT002452,APP009551,1,2024-08-30,2024-08-30,Video,Hiring Manager,2.5,Reject,False
INT002453,APP009553,1,2025-12-03,2025-12-03,On-site,Hiring Manager,3.2,Hold,False
INT002454,APP009554,1,2024-03-08,2024-03-08,Video,Hiring Manager,3.1,Hold,False
INT002455,APP009556,1,2025-10-07,2025-09-29,On-site,Hiring Manager,2.6,Reject,False
INT002456,APP009558,1,2025-10-08,2025-10-08,On-site,Hiring Manager,4.4,Proceed,False
INT002457,APP009561,1,2025-03-28,2025-03-28,Phone,Hiring Manager,3.5,Proceed,False
INT002458,APP009564,1,2026-01-28,2026-01-28,On-site,Hiring Manager,2.5,Reject,False
INT002459,APP009567,1,2025-11-08,2025-11-08,Video,Hiring Manager,3.9,Proceed,False
INT002460,APP009573,1,2024-02-29,2024-02-29,On-site,Hiring Manager,3.3,Hold,False
INT002461,APP009581,1,2025-06-29,2025-06-29,Video,Hiring Manager,3.6,Proceed,False
INT002462,APP009585,1,2024-12-06,2024-12-06,Video,Hiring Manager,3.5,Proceed,False
INT002463,APP009594,1,2025-02-09,2025-02-09,On-site,Hiring Manager,3.0,Hold,False
INT002464,APP009602,1,2024-04-18,2024-04-18,On-site,Hiring Manager,2.0,Reject,False
INT002465,APP009606,1,2024-09-20,2024-09-20,Video,Hiring Manager,3.3,Hold,False
INT002466,APP009608,1,2025-04-11,2025-04-11,On-site,Hiring Manager,3.1,Hold,False
INT002467,APP009613,1,2025-02-02,2025-02-02,On-site,Hiring Manager,2.4,Reject,False
INT002468,APP009623,1,2024-08-08,2024-08-08,On-site,Hiring Manager,2.2,Reject,False
INT002469,APP009634,1,2025-01-07,2025-01-07,Video,Hiring Manager,2.9,Hold,False
INT002470,APP009635,1,2025-01-31,2025-01-31,Phone,Hiring Manager,3.8,Proceed,False
INT002471,APP009636,1,2024-02-26,2024-02-26,Video,Hiring Manager,4.4,Proceed,False
INT002472,APP009644,1,2025-04-06,2025-04-06,Video,Hiring Manager,3.3,Hold,False
INT002473,APP009649,1,2025-07-26,2025-07-26,Video,Hiring Manager,2.6,Reject,False
INT002474,APP009650,1,2024-04-28,2024-04-28,On-site,Hiring Manager,2.7,Reject,False
INT002475,APP009652,1,2024-10-01,2024-10-01,Video,Hiring Manager,3.6,Proceed,False
INT002476,APP009660,1,2025-02-23,2025-02-23,Video,Hiring Manager,4.2,Proceed,False
INT002477,APP009663,1,2024-05-05,2024-05-05,On-site,Hiring Manager,4.6,Proceed,False
INT002478,APP009668,1,2024-08-15,2024-08-15,Video,Hiring Manager,4.8,Proceed,False
INT002479,APP009675,1,2025-06-23,2025-06-23,On-site,Hiring Manager,3.1,Hold,False
INT002480,APP009675,2,2025-06-29,2025-06-29,Video,Panel,3.0,Hold,False
INT002481,APP009680,1,2026-02-01,2026-02-01,On-site,Hiring Manager,3.8,Proceed,False
INT002482,APP009682,1,2024-08-29,2024-08-29,Video,Hiring Manager,3.6,Proceed,False
INT002483,APP009682,2,2024-09-06,2024-09-06,On-site,Panel,4.2,Proceed,False
INT002484,APP009683,1,2025-12-11,2025-12-11,On-site,Hiring Manager,2.0,Reject,False
INT002485,APP009687,1,2025-01-27,2025-01-27,Phone,Hiring Manager,3.4,Proceed,False
INT002486,APP009687,2,2025-02-04,2025-02-04,On-site,Panel,3.5,Proceed,False
INT002487,APP009688,1,2025-04-09,2025-04-09,Video,Hiring Manager,1.4,Reject,False
INT002488,APP009691,1,2024-11-05,2024-11-05,On-site,Hiring Manager,3.1,Hold,False
INT002489,APP009692,1,2024-07-21,2024-07-21,Video,Hiring Manager,3.1,Hold,False
INT002490,APP009693,1,2025-04-29,2025-04-29,Phone,Hiring Manager,2.0,Reject,False
INT002491,APP009699,1,2025-07-09,2025-07-09,On-site,Hiring Manager,2.9,Hold,False
INT002492,APP009699,2,2025-07-20,2025-07-20,On-site,Panel,,Hold,False
INT002493,APP009701,1,2025-07-29,2025-07-29,Phone,Hiring Manager,5.0,Proceed,False
INT002494,APP009703,1,2024-08-02,2024-08-02,Video,Hiring Manager,4.4,Proceed,False
INT002495,APP009709,1,2024-04-08,2024-04-08,Video,Hiring Manager,3.9,Proceed,False
INT002496,APP009714,1,2024-06-13,2024-06-13,Video,Hiring Manager,3.3,Hold,False
INT002497,APP009716,1,2024-05-09,2024-05-09,Video,Hiring Manager,2.3,Reject,False
INT002498,APP009716,2,2024-05-19,2024-05-19,On-site,Panel,3.0,Hold,False
INT002499,APP009719,1,2024-12-15,2024-12-15,Phone,Hiring Manager,,Proceed,False
INT002500,APP009724,1,2025-03-03,2025-03-03,Phone,Hiring Manager,3.5,Proceed,False
INT002501,APP009724,2,2025-03-08,2025-03-08,On-site,Panel,3.8,Proceed,False
INT002502,APP009729,1,2024-10-14,2024-10-14,On-site,Hiring Manager,2.5,Reject,False
INT002503,APP009729,2,2024-10-20,2024-10-20,Video,Panel,2.8,Hold,False
INT002504,APP009730,1,2025-05-17,2025-05-17,Video,Hiring Manager,4.9,Proceed,False
INT002505,APP009731,1,2025-04-24,2025-04-24,On-site,Hiring Manager,4.2,Proceed,False
INT002506,APP009733,1,2024-06-15,2024-06-15,On-site,Hiring Manager,3.6,Proceed,False
INT002507,APP009739,1,2025-12-15,2025-12-15,Video,Hiring Manager,4.5,Proceed,False
INT002508,APP009739,2,2025-12-19,2025-12-19,On-site,Panel,4.4,Proceed,False
INT002509,APP009742,1,2025-08-13,2025-08-13,Video,Hiring Manager,4.1,Proceed,False
INT002510,APP009743,1,2024-07-17,2024-07-17,Phone,Hiring Manager,3.3,Hold,False
INT002511,APP009745,1,2024-07-16,2024-07-16,On-site,Hiring Manager,3.6,Proceed,False
INT002512,APP009749,1,2025-05-06,2025-05-06,Video,Hiring Manager,4.5,Proceed,False
INT002513,APP009756,1,2025-09-23,2025-09-23,On-site,Hiring Manager,3.5,Proceed,False
INT002514,APP009768,1,2024-08-31,2024-08-31,Video,Hiring Manager,3.0,Hold,False
INT002515,APP009768,2,2024-09-05,2024-09-05,Video,Panel,3.7,Proceed,False
INT002516,APP009769,1,2025-10-24,2025-10-24,On-site,Hiring Manager,3.0,Hold,False
INT002517,APP009772,1,2025-05-13,2025-05-13,Video,Hiring Manager,4.1,Proceed,False
INT002518,APP009779,1,2025-03-05,2025-03-05,Video,Hiring Manager,3.4,Proceed,False
INT002519,APP009783,1,2024-11-08,2024-11-08,On-site,Hiring Manager,3.3,Hold,False
INT002520,APP009783,2,2024-11-18,2024-11-18,On-site,Panel,3.0,Hold,False
INT002521,APP009787,1,2025-05-10,2025-05-10,Phone,Hiring Manager,4.5,Proceed,False
INT002522,APP009789,1,2025-10-11,2025-10-11,Video,Hiring Manager,4.4,Proceed,False
INT002523,APP009806,1,2024-09-13,2024-09-13,On-site,Hiring Manager,2.7,Reject,False
INT002524,APP009810,1,2025-02-04,2025-02-04,Video,Hiring Manager,4.6,Proceed,False
INT002525,APP009834,1,2024-09-30,2024-09-30,Video,Hiring Manager,2.5,Reject,False
INT002526,APP009839,1,2025-08-23,2025-08-23,Video,Hiring Manager,3.5,Proceed,False
INT002527,APP009840,1,2025-12-18,2025-12-18,On-site,Hiring Manager,3.8,Proceed,False
INT002528,APP009842,1,2024-12-23,2024-12-23,Video,Hiring Manager,4.0,Proceed,False
INT002529,APP009851,1,2025-09-21,2025-09-21,On-site,Hiring Manager,3.0,Hold,False
INT002530,APP009851,2,2025-09-26,2025-09-26,On-site,Panel,3.6,Proceed,False
INT002531,APP009852,1,2025-01-15,2025-01-15,On-site,Hiring Manager,4.7,Proceed,False
INT002532,APP009856,1,2024-09-23,2024-09-23,Video,Hiring Manager,3.4,Proceed,False
INT002533,APP009863,1,2025-02-27,2025-02-27,Video,Hiring Manager,2.9,Hold,False
INT002534,APP009864,1,2025-10-02,2025-10-02,Phone,Hiring Manager,2.7,Reject,False
INT002535,APP009866,1,2024-04-23,2024-04-23,On-site,Hiring Manager,3.8,Proceed,False
INT002536,APP009871,1,2025-10-31,2025-10-31,Video,Hiring Manager,2.6,Reject,False
INT002537,APP009877,1,2024-02-02,2024-02-02,Video,Hiring Manager,4.3,Proceed,False
INT002538,APP009878,1,2025-05-26,2025-05-26,Video,Hiring Manager,1.7,Reject,False
INT002539,APP009884,1,2025-05-28,2025-05-28,Video,Hiring Manager,3.1,Hold,False
INT002540,APP009887,1,2024-07-14,2024-07-14,Phone,Hiring Manager,4.0,Proceed,False
INT002541,APP009887,2,2024-07-24,2024-07-24,On-site,Panel,4.5,Proceed,False
INT002542,APP009892,1,2024-04-19,2024-04-19,Video,Hiring Manager,4.3,Proceed,False
INT002543,APP009894,1,2024-03-09,2024-03-09,Video,Hiring Manager,1.7,Reject,False
INT002544,APP009895,1,2025-09-05,2025-09-05,On-site,Hiring Manager,1.3,Reject,False
INT002545,APP009905,1,2025-02-17,2025-02-17,Video,Hiring Manager,4.0,Proceed,False
INT002546,APP009907,1,2025-11-08,2025-11-08,On-site,Hiring Manager,3.0,Hold,False
INT002547,APP009911,1,2025-02-19,2025-02-19,Phone,Hiring Manager,2.7,Reject,False
INT002548,APP009916,1,2024-12-08,2024-12-08,Video,Hiring Manager,3.7,Proceed,False
INT002549,APP009920,1,2024-12-14,2024-12-14,On-site,Hiring Manager,2.9,Hold,False
INT002550,APP009930,1,2025-10-28,2025-10-28,Video,Hiring Manager,3.2,Hold,False
INT002551,APP009934,1,2025-11-18,2025-11-18,Video,Hiring Manager,3.1,Hold,False
INT002552,APP009938,1,2024-12-07,2024-12-07,On-site,Hiring Manager,5.0,Proceed,False
INT002553,APP009941,1,2025-02-15,2025-02-15,On-site,Hiring Manager,2.4,Reject,False
INT002554,APP009941,2,2025-02-22,2025-02-22,Video,Panel,2.0,Hold,False
INT002555,APP009946,1,2025-05-12,2025-05-12,Video,Hiring Manager,5.0,Proceed,False
INT002556,APP009952,1,2025-03-21,2025-03-21,Video,Hiring Manager,4.9,Proceed,False
INT002557,APP009952,2,2025-03-27,2025-03-27,On-site,Panel,5.0,Proceed,False
INT002558,APP009954,1,2024-09-16,2024-09-16,Video,Hiring Manager,3.1,Hold,False
INT002559,APP009956,1,2025-10-10,2025-10-10,Phone,Hiring Manager,3.8,Proceed,False
INT002560,APP009957,1,2025-03-22,2025-03-22,Video,Hiring Manager,4.8,Proceed,False
INT002561,APP009960,1,2024-11-01,2024-11-01,Video,Hiring Manager,3.2,Hold,False
INT002562,APP009961,1,2024-07-28,2024-07-28,Phone,Hiring Manager,2.7,Reject,False
INT002563,APP009968,1,2025-07-09,2025-07-09,On-site,Hiring Manager,3.0,Hold,False
INT002564,APP009974,1,2025-02-28,2025-02-28,Phone,Hiring Manager,2.4,Reject,False
INT002565,APP009975,1,2024-05-13,2024-05-13,Video,Hiring Manager,4.1,Proceed,False
INT002566,APP009976,1,2025-01-04,2025-01-04,Video,Hiring Manager,3.2,Hold,False
INT002567,APP009980,1,2026-01-05,2026-01-05,On-site,Hiring Manager,3.9,Proceed,False
INT002568,APP009983,1,2025-11-10,2025-11-10,On-site,Hiring Manager,3.1,Hold,False
INT002569,APP009983,2,2025-11-19,2025-11-19,Video,Panel,3.7,Proceed,False
INT002570,APP009986,1,2024-10-23,2024-10-23,Phone,Hiring Manager,3.9,Proceed,False
INT002571,APP009986,2,2024-11-01,2024-11-01,On-site,Panel,3.6,Proceed,False
INT002572,APP009990,1,2025-03-01,2025-03-01,Video,Hiring Manager,2.2,Reject,False
INT002573,APP009991,1,2025-05-21,2025-05-21,On-site,Hiring Manager,3.6,Proceed,False
INT002574,APP010000,1,2024-05-27,2024-05-27,Phone,Hiring Manager,2.7,Reject,False
INT002575,APP010000,2,2024-06-05,2024-06-05,On-site,Panel,2.7,Hold,False
INT002576,APP010010,1,2024-11-23,2024-11-23,Video,Hiring Manager,1.3,Reject,False
INT002577,APP010015,1,2024-10-19,2024-10-19,Phone,Hiring Manager,4.4,Proceed,False
INT002578,APP010024,1,2025-08-02,2025-08-02,Video,Hiring Manager,3.9,Proceed,False
INT002579,APP010025,1,2025-05-09,2025-05-09,Video,Hiring Manager,4.0,Proceed,False
INT002580,APP010027,1,2025-10-15,2025-10-15,On-site,Hiring Manager,3.5,Proceed,False
INT002581,APP010028,1,2025-10-14,2025-10-14,Video,Hiring Manager,3.5,Proceed,False
INT002582,APP010033,1,2024-06-24,2024-06-24,Video,Hiring Manager,4.1,Proceed,False
INT002583,APP010037,1,2025-11-20,2025-11-20,Video,Hiring Manager,2.5,Reject,False
INT002584,APP010048,1,2025-08-08,2025-08-08,Phone,Hiring Manager,2.3,Reject,False
INT002585,APP010054,1,2025-05-28,2025-05-28,Video,Hiring Manager,5.0,Proceed,False
INT002586,APP010055,1,2024-04-14,2024-04-14,Video,Hiring Manager,4.1,Proceed,False
INT002587,APP010069,1,2025-05-19,2025-05-19,On-site,Hiring Manager,2.8,Hold,False
INT002588,APP010071,1,2025-03-22,2025-03-22,Video,Hiring Manager,2.3,Reject,False
INT002589,APP010071,2,2025-03-31,2025-03-31,On-site,Panel,2.9,Hold,False
INT002590,APP010074,1,2024-07-29,2024-07-29,On-site,Hiring Manager,3.9,Proceed,False
INT002591,APP010091,1,2025-12-25,2025-12-25,Video,Hiring Manager,4.5,Proceed,False
INT002592,APP010093,1,2024-07-24,2024-07-24,Video,Hiring Manager,2.2,Reject,False
INT002593,APP010096,1,2024-04-24,2024-04-24,Phone,Hiring Manager,2.8,Hold,False
INT002594,APP010104,1,2025-04-14,2025-04-14,On-site,Hiring Manager,3.8,Proceed,False
INT002595,APP010107,1,2025-04-12,2025-04-12,On-site,Hiring Manager,4.0,Proceed,False
INT002596,APP010107,2,2025-04-19,2025-04-19,On-site,Panel,5.0,Proceed,False
INT002597,APP010108,1,2025-05-26,2025-05-26,Video,Hiring Manager,4.0,Proceed,False
INT002598,APP010111,1,2024-09-10,2024-09-10,Phone,Hiring Manager,3.9,Proceed,False
INT002599,APP010113,1,2024-09-26,2024-09-26,On-site,Hiring Manager,4.8,Proceed,False
INT002600,APP010116,1,2024-11-02,2024-11-02,On-site,Hiring Manager,3.1,Hold,False
INT002601,APP010124,1,2025-01-27,2025-01-27,Video,Hiring Manager,2.3,Reject,False
INT002602,APP010125,1,2025-05-25,2025-05-25,Video,Hiring Manager,3.6,Proceed,False
INT002603,APP010126,1,2024-08-28,2024-08-28,Video,Hiring Manager,3.1,Hold,False
INT002604,APP010133,1,2024-06-28,2024-06-28,On-site,Hiring Manager,3.5,Proceed,False
INT002605,APP010135,1,2025-10-30,2025-10-30,Video,Hiring Manager,2.7,Reject,False
INT002606,APP010149,1,2024-05-14,2024-05-14,Video,Hiring Manager,2.9,Hold,False
INT002607,APP010157,1,2024-08-10,2024-08-10,On-site,Hiring Manager,2.7,Reject,False
INT002608,APP010163,1,2024-08-22,2024-08-22,Video,Hiring Manager,3.4,Proceed,False
INT002609,APP010166,1,2025-12-03,2025-12-03,Video,Hiring Manager,4.9,Proceed,False
INT002610,APP010168,1,2024-11-12,2024-11-12,On-site,Hiring Manager,3.4,Proceed,False
INT002611,APP010176,1,2025-04-26,2025-04-26,On-site,Hiring Manager,1.0,Reject,False
INT002612,APP010179,1,2024-12-13,2024-12-13,On-site,Hiring Manager,3.7,Proceed,False
INT002613,APP010190,1,2024-02-21,2024-02-21,Video,Hiring Manager,3.0,Hold,False
INT002614,APP010194,1,2024-10-15,2024-10-15,Video,Hiring Manager,4.1,Proceed,False
INT002615,APP010198,1,2025-11-11,2025-11-11,Video,Hiring Manager,4.6,Proceed,False
INT002616,APP010200,1,2024-05-08,2024-05-08,Video,Hiring Manager,3.7,Proceed,False
INT002617,APP010208,1,2024-07-23,2024-07-23,Phone,Hiring Manager,3.1,Hold,False
INT002618,APP010210,1,2025-04-27,2025-04-27,Video,Hiring Manager,3.1,Hold,False
INT002619,APP010211,1,2025-03-22,2025-03-22,On-site,Hiring Manager,3.2,Hold,False
INT002620,APP010214,1,2025-12-07,2025-12-07,Video,Hiring Manager,3.5,Proceed,False
INT002621,APP010216,1,2025-02-22,2025-02-22,Video,Hiring Manager,3.8,Proceed,False
INT002622,APP010219,1,2024-11-15,2024-11-15,Video,Hiring Manager,3.6,Proceed,False
INT002623,APP010220,1,2024-03-08,2024-03-08,Video,Hiring Manager,,Reject,False
INT002624,APP010229,1,2025-07-03,2025-07-03,Video,Hiring Manager,3.4,Proceed,False
INT002625,APP010231,1,2025-06-07,2025-06-07,Video,Hiring Manager,3.7,Proceed,False
INT002626,APP010235,1,2025-09-19,2025-09-19,Video,Hiring Manager,3.1,Hold,False
INT002627,APP010243,1,2025-10-24,2025-10-24,On-site,Hiring Manager,3.4,Proceed,False
INT002628,APP010244,1,2025-09-21,2025-09-21,Video,Hiring Manager,1.6,Reject,False
INT002629,APP010247,1,2025-08-02,2025-08-02,Phone,Hiring Manager,3.1,Hold,False
INT002630,APP010249,1,2025-04-21,2025-04-21,Phone,Hiring Manager,4.8,Proceed,False
INT002631,APP010252,1,2025-10-15,2025-10-15,Video,Hiring Manager,4.6,Proceed,False
INT002632,APP010256,1,2024-10-17,2024-10-17,Video,Hiring Manager,3.4,Proceed,False
INT002633,APP010259,1,2025-08-20,2025-08-20,On-site,Hiring Manager,4.1,Proceed,False
INT002634,APP010263,1,2025-03-05,2025-03-05,Video,Hiring Manager,3.3,Hold,False
INT002635,APP010263,2,2025-03-16,2025-03-16,On-site,Panel,3.5,Proceed,False
INT002636,APP010273,1,2025-07-06,2025-07-06,Video,Hiring Manager,3.4,Proceed,False
INT002637,APP010275,1,2024-06-10,2024-06-10,On-site,Hiring Manager,,Reject,False
INT002638,APP010275,2,2024-06-21,2024-06-21,On-site,Panel,1.4,Hold,False
INT002639,APP010277,1,2024-04-14,2024-04-14,Video,Hiring Manager,4.7,Proceed,False
INT002640,APP010283,1,2025-05-24,2025-05-24,Video,Hiring Manager,3.0,Hold,False
INT002641,APP010290,1,2024-06-11,2024-06-11,Video,Hiring Manager,2.8,Hold,False
INT002642,APP010297,1,2025-07-13,2025-07-13,Video,Hiring Manager,2.7,Reject,False
INT002643,APP010298,1,2025-04-08,2025-04-08,Video,Hiring Manager,1.4,Reject,False
INT002644,APP010302,1,2024-04-08,2024-04-08,On-site,Hiring Manager,3.0,Hold,False
INT002645,APP010311,1,2025-02-22,2025-02-22,On-site,Hiring Manager,2.4,Reject,False
INT002646,APP010312,1,2024-07-27,2024-07-27,Video,Hiring Manager,4.1,Proceed,False
INT002647,APP010316,1,2024-02-12,2024-02-12,Video,Hiring Manager,4.3,Proceed,False
INT002648,APP010322,1,2025-07-26,2025-07-26,Video,Hiring Manager,3.8,Proceed,False
INT002649,APP010326,1,2025-05-07,2025-05-07,Video,Hiring Manager,3.1,Hold,False
INT002650,APP010327,1,2025-07-21,2025-07-21,On-site,Hiring Manager,4.0,Proceed,False
INT002651,APP010333,1,2025-01-16,2025-01-16,Video,Hiring Manager,3.5,Proceed,False
INT002652,APP010352,1,2024-02-06,2024-02-06,On-site,Hiring Manager,4.2,Proceed,False
INT002653,APP010355,1,2025-10-15,2025-10-15,Phone,Hiring Manager,4.9,Proceed,False
INT002654,APP010355,2,2025-10-20,2025-10-20,On-site,Panel,4.9,Proceed,False
INT002655,APP010360,1,2025-02-09,2025-02-09,On-site,Hiring Manager,2.8,Hold,False
INT002656,APP010370,1,2025-09-21,2025-09-21,Video,Hiring Manager,2.3,Reject,False
INT002657,APP010374,1,2025-06-05,2025-06-05,Phone,Hiring Manager,1.6,Reject,False
INT002658,APP010374,2,2025-06-10,2025-06-10,On-site,Panel,2.1,Hold,False
INT002659,APP010375,1,2025-09-23,2025-09-23,On-site,Hiring Manager,3.5,Proceed,False
INT002660,APP010379,1,2025-09-12,2025-09-12,Video,Hiring Manager,4.5,Proceed,False
INT002661,APP010387,1,2025-11-05,2025-11-05,On-site,Hiring Manager,3.9,Proceed,False
INT002662,APP010399,1,2025-11-08,2025-11-08,On-site,Hiring Manager,3.2,Hold,False
INT002663,APP010400,1,2025-11-04,2025-11-04,On-site,Hiring Manager,3.0,Hold,False
INT002664,APP010407,1,2024-09-10,2024-09-10,Video,Hiring Manager,2.6,Reject,False
INT002665,APP010413,1,2025-05-13,2025-05-13,On-site,Hiring Manager,4.2,Proceed,False
INT002666,APP010413,2,2025-05-23,2025-05-23,On-site,Panel,4.6,Proceed,False
INT002667,APP010417,1,2025-10-11,2025-10-11,Video,Hiring Manager,3.1,Hold,False
INT002668,APP010424,1,2025-02-07,2025-02-07,Phone,Hiring Manager,2.0,Reject,False
INT002669,APP010426,1,2024-07-19,2024-07-19,Video,Hiring Manager,4.7,Proceed,False
INT002670,APP010428,1,2024-11-14,2024-11-14,On-site,Hiring Manager,3.5,Proceed,False
INT002671,APP010445,1,2024-08-22,2024-08-22,Video,Hiring Manager,3.0,Hold,False
INT002672,APP010446,1,2024-10-01,2024-10-01,Video,Hiring Manager,2.5,Reject,False
INT002673,APP010448,1,2024-10-27,2024-10-27,Video,Hiring Manager,3.9,Proceed,False
INT002674,APP010453,1,2025-05-20,2025-05-20,Video,Hiring Manager,2.9,Hold,False
INT002675,APP010453,2,2025-05-31,2025-05-31,On-site,Panel,3.7,Proceed,False
INT002676,APP010461,1,2024-03-20,2024-03-20,Phone,Hiring Manager,2.9,Hold,False
INT002677,APP010464,1,2025-05-17,2025-05-17,On-site,Hiring Manager,2.2,Reject,False
INT002678,APP010465,1,2024-01-25,2024-01-25,On-site,Hiring Manager,4.6,Proceed,False
INT002679,APP010466,1,2024-10-02,2024-10-02,Video,Hiring Manager,2.4,Reject,False
INT002680,APP010470,1,2025-11-12,2025-11-12,On-site,Hiring Manager,3.0,Hold,False
INT002681,APP010472,1,2025-07-08,2025-07-08,On-site,Hiring Manager,4.3,Proceed,False
INT002682,APP010479,1,2024-09-03,2024-09-03,Video,Hiring Manager,4.7,Proceed,False
INT002683,APP010482,1,2025-09-30,2025-09-30,On-site,Hiring Manager,3.8,Proceed,False
INT002684,APP010486,1,2025-11-28,2025-11-28,Video,Hiring Manager,2.9,Hold,False
INT002685,APP010494,1,2024-10-31,2024-10-31,Video,Hiring Manager,2.1,Reject,False
INT002686,APP010496,1,2024-12-14,2024-12-14,Video,Hiring Manager,4.7,Proceed,False
INT002687,APP010496,2,2024-12-21,2024-12-21,On-site,Panel,5.0,Proceed,False
INT002688,APP010500,1,2025-09-17,2025-09-17,On-site,Hiring Manager,4.5,Proceed,False
INT002689,APP010510,1,2024-07-11,2024-07-11,Video,Hiring Manager,2.5,Reject,False
INT002690,APP010514,1,2025-09-21,2025-09-21,Video,Hiring Manager,1.5,Reject,False
INT002691,APP010515,1,2024-10-18,2024-10-18,Video,Hiring Manager,2.3,Reject,False
INT002692,APP010517,1,2025-09-13,2025-09-13,On-site,Hiring Manager,3.8,Proceed,False
INT002693,APP010520,1,2025-08-18,2025-08-18,On-site,Hiring Manager,2.1,Reject,False
INT002694,APP010531,1,2024-08-29,2024-08-29,Video,Hiring Manager,2.3,Reject,False
INT002695,APP010535,1,2024-12-25,2024-12-25,Video,Hiring Manager,2.0,Reject,False
INT002696,APP010543,1,2025-02-10,2025-02-10,Video,Hiring Manager,4.0,Proceed,False
INT002697,APP010546,1,2025-12-15,2025-12-15,Video,Hiring Manager,4.7,Proceed,False
INT002698,APP010554,1,2025-08-04,2025-08-04,On-site,Hiring Manager,4.7,Proceed,False
INT002699,APP010568,1,2024-07-24,2024-07-24,On-site,Hiring Manager,3.0,Hold,False
INT002700,APP010572,1,2025-05-09,2025-05-09,On-site,Hiring Manager,3.4,Proceed,False
INT002701,APP010579,1,2025-05-16,2025-05-16,On-site,Hiring Manager,2.3,Reject,False
INT002702,APP010579,2,2025-05-21,2025-05-21,On-site,Panel,1.1,Hold,False
INT002703,APP010580,1,2025-07-03,2025-07-03,Video,Hiring Manager,4.7,Proceed,False
